Wavelength (nm)	Intensity (cps)
2383.274959018066853333485834160256	1
2091.326269022384965027313167012977	6
1863.098634738525339944151832700088	26
1679.782957858683978220282549413101	76
1529.309738343538072587586388073888	100
1403.578617853832165361561124153516	233
1296.950729257435949619972352976966	174
1205.379730666433423450180560465054	104
1125.886681760736308453445475095947	65
1056.229851544998306901975878819366	64
994.6899555053869353318880488349970	33
939.9263366243761655542311615319672	13
890.8781758181984980825871091472422	25
846.6950991668073271522305702280728	8
806.6874586319847782188814528095805	15
770.2900726492168949523608039982982	7
737.0353589961454162440917914166350	6
706.5331390409964704825613122039033	0
678.4552575096768706183933481828229	1
652.5237293795698526349853675512492	3
628.5015049583669155278024682953400	15
606.1852023977581571075776095379882	0
585.3993354036719465653296254433070	0
565.9916891530561767617492119537141	2
547.8295865036693365835562677309474	1
530.7968507342921416600248664310467	11
514.7913177941706897295681754717782	4
499.7227854683327709182763800559192	0
485.5113124815007989423884283549797	0
472.0857998043105482606899275744663	0
459.3828010068607552581172205291034	0
447.3455196472454466689499175432889	0
435.9229602646964512066144467438136	0
425.0692062058473397103200425993632	0
414.7428027156076414334921521095822	0
404.9062278165090768550539380352426	0
395.5254367394565339038585282267406	0
386.5694682478006013289787582469169	0
378.0101032617011421491391504011031	0
369.8215678522015605329615965285183	1
361.9802740196445370720830409126037	0
354.4645927648994145257819036767435	0
347.2546548554690238465570592242981	3
340.3321754218175085193819351784132	0
333.6802991235463237710470633458987	0
327.2834631250707981695846091770666	0
321.1272755358257854786923263515871	0
315.1984073163844863600274677563318	0
309.4844959417215232096043315016544	0
303.9740593562512729807978740495466	3
