Time (ps)	Intensity (cps)
0	25
9.97	100
19.94	69
29.91	68
39.88	100
49.85	67
59.82	44
69.79	55
79.76	52
89.73	32
99.70	39
109.67	23
119.64	30
129.61	30
139.58	19
149.55	26
159.52	14
169.49	9
179.46	14
189.43	14
199.40	16
209.37	7
219.34	15
229.31	9
239.28	4
249.25	9
259.22	13
269.19	6
279.16	8
289.13	2
299.10	5
309.07	4
319.04	4
329.01	7
338.98	5
348.95	3
358.92	2
368.89	3
378.86	2
388.83	4
398.80	3
408.77	5
418.74	2
428.71	0
438.68	2
448.65	1
458.62	0
468.59	3
478.56	2
488.53	0
498.50	0
508.47	1
518.44	1
528.41	2
538.38	1
548.35	1
558.32	0
568.29	0
578.26	0
588.23	1
598.20	0
608.17	0
618.14	2
628.11	3
638.08	1
648.05	0
658.02	0
667.99	0
677.96	0
687.93	0
697.90	2
707.87	0
717.84	1
727.81	1
737.78	0
747.75	2
757.72	0
767.69	2
777.66	1
787.63	1
797.60	0
807.57	0
817.54	0
827.51	0
837.48	0
847.45	0
857.42	0
867.39	0
877.36	0
887.33	0
897.30	0
907.27	0
917.24	0
927.21	0
937.18	0
947.15	0
957.12	0
967.09	0
977.06	0
987.03	1
